Numero de regras = 835
premissa ==> conclusao (suporte,confianca)
{orkut ad.doubleclick.net yahoo rad.msn}==>{google ad.yieldmanager.com} (0.008571428,1.0)
{orkut ad.doubleclick.net yahoo terra globo}==>{google} (0.008571428,1.0)
{orkut ad.yieldmanager.com terra globo}==>{google ad.doubleclick.net} (0.008571428,1.0)
{orkut bn.uol.com.br ad.yieldmanager.com rad.msn}==>{google yahoo} (0.008571428,1.0)
{orkut google yahoo terra globo}==>{ad.doubleclick.net} (0.008571428,1.0)
{orkut uai rad.msn ad.yieldmanager.com}==>{google yahoo} (0.008571428,1.0)
{terra bn.uol.com.br ad.yieldmanager.com globo}==>{google ad.doubleclick.net} (0.008571428,1.0)
{terra bn.uol.com.br ad.yieldmanager.com rad.msn}==>{google yahoo} (0.008571428,1.0)
{uai ad.doubleclick.net view.atdmt.com rad.msn}==>{google yahoo} (0.008571428,1.0)
{uai globo gstatic google}==>{yahoo} (0.008571428,1.0)
{uai orkut view.atdmt.com bn.uol.com.br}==>{google ad.yieldmanager.com} (0.008571428,1.0)
{uai orkut view.atdmt.com google ad.doubleclick.net}==>{ad.yieldmanager.com yahoo} (0.008571428,1.0)
{uai terra yahoo globo view.atdmt.com}==>{google} (0.008571428,1.0)
{view.atdmt.com ad.doubleclick.net gstatic google}==>{yahoo} (0.008571428,1.0)
{view.atdmt.com ad.doubleclick.net gstatic yahoo}==>{google} (0.008571428,1.0)
{view.atdmt.com ad.doubleclick.net orkut globo bn.uol.com.br yahoo}==>{google ad.yieldmanager.com} (0.008571428,1.0)
{view.atdmt.com ad.doubleclick.net terra rad.msn}==>{bn.uol.com.br} (0.008571428,1.0)
{view.atdmt.com ad.doubleclick.net uai terra}==>{google} (0.008571428,1.0)
{view.atdmt.com ad.yieldmanager.com ad.doubleclick.net rad.msn}==>{google yahoo} (0.008571428,1.0)
{view.atdmt.com ad.yieldmanager.com orkut globo bn.uol.com.br yahoo}==>{google ad.doubleclick.net} (0.008571428,1.0)
{view.atdmt.com ad.yieldmanager.com terra orkut}==>{ad.doubleclick.net} (0.008571428,1.0)
{view.atdmt.com terra uai bn.uol.com.br}==>{google rad.msn yahoo} (0.008571428,1.0)
{view.atdmt.com terra uai rad.msn}==>{google bn.uol.com.br yahoo} (0.008571428,1.0)
{view.atdmt.com yahoo terra orkut}==>{ad.doubleclick.net} (0.008571428,1.0)
{yahoo ad.doubleclick.net terra gstatic}==>{google} (0.008571428,1.0)
{ad.doubleclick.net rad.msn terra globo}==>{google} (0.007142857,1.0)
{ad.doubleclick.net view.atdmt.com ad.yieldmanager.com google gstatic}==>{yahoo} (0.007142857,1.0)
{ad.doubleclick.net view.atdmt.com ad.yieldmanager.com yahoo gstatic}==>{google} (0.007142857,1.0)
{ad.yieldmanager.com ad.doubleclick.net globo rad.msn}==>{google bn.uol.com.br yahoo} (0.007142857,1.0)
{ad.yieldmanager.com bn.uol.com.br gstatic ad.doubleclick.net}==>{google yahoo} (0.007142857,1.0)
{ad.yieldmanager.com ceipmsn ad.doubleclick.net google}==>{yahoo} (0.007142857,1.0)
{ad.yieldmanager.com ceipmsn ad.doubleclick.net orkut}==>{yahoo} (0.007142857,1.0)
{ad.yieldmanager.com ceipmsn uai globo}==>{yahoo} (0.007142857,1.0)
{ad.yieldmanager.com globo ceipmsn ad.doubleclick.net}==>{yahoo} (0.007142857,1.0)
{ad.yieldmanager.com rad.msn globo orkut}==>{google yahoo} (0.007142857,1.0)
{ad.yieldmanager.com uai ad.doubleclick.net gstatic}==>{google yahoo} (0.007142857,1.0)
{ad.yieldmanager.com view.atdmt.com rad.msn uai}==>{google yahoo} (0.007142857,1.0)
{ad.yieldmanager.com yahoo ad.doubleclick.net bn.uol.com.br orkut uai}==>{google} (0.007142857,1.0)
{ad.yieldmanager.com youtube google ad.doubleclick.net}==>{yahoo} (0.007142857,1.0)
{bn.uol.com.br ad.doubleclick.net youtube orkut}==>{yahoo} (0.007142857,1.0)
{bn.uol.com.br ad.yieldmanager.com gstatic globo google}==>{yahoo} (0.007142857,1.0)
{bn.uol.com.br rad.msn terra globo}==>{google view.atdmt.com yahoo} (0.007142857,1.0)
{bn.uol.com.br view.atdmt.com ad.doubleclick.net terra globo}==>{google} (0.007142857,1.0)
{bn.uol.com.br view.atdmt.com yahoo gstatic}==>{ad.yieldmanager.com} (0.007142857,1.0)
{bn.uol.com.br yahoo gstatic globo google}==>{ad.yieldmanager.com} (0.007142857,1.0)
{globo ad.doubleclick.net uai google ad.yieldmanager.com view.atdmt.com}==>{yahoo} (0.007142857,1.0)
{globo ad.doubleclick.net uai view.atdmt.com bn.uol.com.br}==>{google yahoo} (0.007142857,1.0)
{globo ad.yieldmanager.com ceipmsn view.atdmt.com}==>{yahoo} (0.007142857,1.0)
{globo ad.yieldmanager.com gstatic view.atdmt.com}==>{yahoo} (0.007142857,1.0)
