Numero de regras = 876
premissa ==> conclusao (suporte,confianca)
{ad.doubleclick.net uai yahoo bn.uol.com.br orkut}==>{google} (0.0070422534,1.0)
{ad.doubleclick.net view.atdmt.com ad.yieldmanager.com orkut bn.uol.com.br google}==>{yahoo} (0.0070422534,1.0)
{ad.doubleclick.net view.atdmt.com yahoo orkut bn.uol.com.br google}==>{ad.yieldmanager.com} (0.0070422534,1.0)
{ad.yieldmanager.com ad.doubleclick.net rad.msn view.atdmt.com google orkut}==>{yahoo} (0.0070422534,1.0)
{ad.yieldmanager.com bn.uol.com.br view.atdmt.com terra}==>{globo yahoo} (0.0070422534,1.0)
{ad.yieldmanager.com oss-content.securestudies uai}==>{google} (0.0070422534,1.0)
{ad.yieldmanager.com rad.msn gstatic}==>{orkut google view.atdmt.com} (0.0070422534,1.0)
{ad.yieldmanager.com view.atdmt.com ad.doubleclick.net gstatic}==>{google} (0.0070422534,1.0)
{ad.yieldmanager.com view.atdmt.com bn.uol.com.br gstatic}==>{orkut google yahoo} (0.0070422534,1.0)
{ad.yieldmanager.com youtube orkut globo}==>{google yahoo} (0.0070422534,1.0)
{bn.uol.com.br ad.doubleclick.net youtube globo}==>{orkut google} (0.0070422534,1.0)
{bn.uol.com.br ad.doubleclick.net youtube orkut}==>{globo google} (0.0070422534,1.0)
{bn.uol.com.br ad.yieldmanager.com ceipmsn google}==>{yahoo} (0.0070422534,1.0)
{bn.uol.com.br globo rad.msn google orkut ad.yieldmanager.com}==>{yahoo} (0.0070422534,1.0)
{bn.uol.com.br globo rad.msn google yahoo ad.yieldmanager.com}==>{orkut} (0.0070422534,1.0)
{bn.uol.com.br terra google ad.yieldmanager.com globo orkut}==>{yahoo} (0.0070422534,1.0)
{bn.uol.com.br view.atdmt.com youtube google}==>{orkut yahoo} (0.0070422534,1.0)
{bn.uol.com.br view.atdmt.com youtube orkut}==>{google yahoo} (0.0070422534,1.0)
{globo bn.uol.com.br rad.msn google orkut ad.doubleclick.net}==>{yahoo} (0.0070422534,1.0)
{globo bn.uol.com.br rad.msn google yahoo ad.doubleclick.net}==>{orkut} (0.0070422534,1.0)
{globo gstatic ad.doubleclick.net ad.yieldmanager.com orkut}==>{google} (0.0070422534,1.0)
{globo gstatic bn.uol.com.br ad.doubleclick.net google}==>{orkut} (0.0070422534,1.0)
{globo gstatic bn.uol.com.br ad.doubleclick.net orkut}==>{google} (0.0070422534,1.0)
{globo gstatic orkut bn.uol.com.br yahoo}==>{google} (0.0070422534,1.0)
{globo gstatic yahoo ad.yieldmanager.com orkut}==>{google} (0.0070422534,1.0)
{globo rad.msn terra orkut}==>{view.atdmt.com} (0.0070422534,1.0)
{globo terra rad.msn bn.uol.com.br}==>{yahoo} (0.0070422534,1.0)
{globo yahoo rad.msn google orkut ad.doubleclick.net}==>{bn.uol.com.br} (0.0070422534,1.0)
{google ad.yieldmanager.com rad.msn uai}==>{yahoo} (0.0070422534,1.0)
{google view.atdmt.com ad.yieldmanager.com youtube}==>{orkut} (0.0070422534,1.0)
{gstatic bn.uol.com.br yahoo uai}==>{ad.doubleclick.net} (0.0070422534,1.0)
{gstatic globo view.atdmt.com ad.yieldmanager.com}==>{google} (0.0070422534,1.0)
{gstatic globo yahoo rad.msn}==>{google} (0.0070422534,1.0)
{gstatic terra globo}==>{google} (0.0070422534,1.0)
{gstatic view.atdmt.com orkut globo}==>{google} (0.0070422534,1.0)
{gstatic yahoo youtube orkut}==>{google} (0.0070422534,1.0)
{orkut ad.yieldmanager.com ad.doubleclick.net youtube}==>{google yahoo} (0.0070422534,1.0)
{orkut ad.yieldmanager.com bn.uol.com.br google terra ad.doubleclick.net}==>{yahoo} (0.0070422534,1.0)
{orkut bn.uol.com.br rad.msn yahoo google ad.doubleclick.net}==>{globo} (0.0070422534,1.0)
{orkut rad.msn bn.uol.com.br view.atdmt.com globo}==>{ad.yieldmanager.com yahoo} (0.0070422534,1.0)
{rad.msn ad.yieldmanager.com globo yahoo bn.uol.com.br ad.doubleclick.net}==>{orkut} (0.0070422534,1.0)
{rad.msn ad.yieldmanager.com orkut ad.doubleclick.net bn.uol.com.br}==>{globo yahoo} (0.0070422534,1.0)
