Numero de regras = 205
premissa ==> conclusao (suporte,confianca)
{google youtube globo yahoo}==>{rad.msn view.atdmt.com bn.uol.com.br ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{gstatic ad.doubleclick.net ceipmsn orkut}==>{google yahoo} (0.0031746032,1.0)
{gstatic ad.doubleclick.net ceipmsn yahoo}==>{orkut google} (0.0031746032,1.0)
{gstatic ad.doubleclick.net uai}==>{bn.uol.com.br ad.yieldmanager.com yahoo} (0.0031746032,1.0)
{gstatic ad.yieldmanager.com uai}==>{ad.doubleclick.net bn.uol.com.br yahoo} (0.0031746032,1.0)
{gstatic bn.uol.com.br uai}==>{ad.doubleclick.net ad.yieldmanager.com yahoo} (0.0031746032,1.0)
{gstatic google view.atdmt.com globo}==>{orkut youtube} (0.0031746032,1.0)
{gstatic google view.atdmt.com youtube}==>{globo orkut} (0.0031746032,1.0)
{gstatic orkut view.atdmt.com globo}==>{youtube google} (0.0031746032,1.0)
{gstatic orkut youtube globo}==>{google view.atdmt.com} (0.0031746032,1.0)
{gstatic rad.msn ad.yieldmanager.com}==>{orkut} (0.0031746032,1.0)
{gstatic yahoo globo}==>{view.atdmt.com} (0.0031746032,1.0)
{gstatic yahoo view.atdmt.com youtube}==>{uai} (0.0031746032,1.0)
{orkut oss-content.securestudies ad.yieldmanager.com}==>{google} (0.0031746032,1.0)
{orkut oss-content.securestudies google}==>{ad.yieldmanager.com} (0.0031746032,1.0)
{orkut uai ad.yieldmanager.com}==>{yahoo} (0.0031746032,1.0)
{orkut uai bn.uol.com.br}==>{google} (0.0031746032,1.0)
{orkut uai yahoo}==>{ad.yieldmanager.com} (0.0031746032,1.0)
{orkut youtube terra}==>{ad.doubleclick.net} (0.0031746032,1.0)
{oss-content.securestudies rad.msn}==>{orkut} (0.0031746032,1.0)
{oss-content.securestudies yahoo}==>{orkut} (0.0031746032,1.0)
{rad.msn bn.uol.com.br ad.doubleclick.net}==>{orkut google terra} (0.0031746032,1.0)
