Numero de regras = 123
premissa ==> conclusao (suporte,confianca)
{view.atdmt.com uai ceipmsn}==>{globo} (0.0034013605,1.0)
{yahoo ad.doubleclick.net bn.uol.com.br}==>{ad.yieldmanager.com} (0.0034013605,1.0)
{yahoo ad.doubleclick.net orkut}==>{google ad.yieldmanager.com} (0.0034013605,1.0)
{yahoo ad.yieldmanager.com rad.msn}==>{google} (0.0034013605,1.0)
{yahoo ad.yieldmanager.com view.atdmt.com orkut}==>{youtube gstatic google} (0.0034013605,1.0)
{yahoo gstatic google view.atdmt.com orkut}==>{youtube ad.yieldmanager.com} (0.0034013605,1.0)
{yahoo oss-content.securestudies}==>{google} (0.0034013605,1.0)
{yahoo uai terra}==>{google} (0.0034013605,1.0)
{yahoo youtube view.atdmt.com google}==>{orkut gstatic ad.yieldmanager.com} (0.0034013605,1.0)
{yahoo youtube view.atdmt.com gstatic}==>{orkut google ad.yieldmanager.com} (0.0034013605,1.0)
{yahoo youtube view.atdmt.com orkut}==>{gstatic google ad.yieldmanager.com} (0.0034013605,1.0)
{youtube ad.doubleclick.net oss-content.securestudies}==>{orkut gstatic} (0.0034013605,1.0)
{youtube ad.doubleclick.net uai}==>{google} (0.0034013605,1.0)
{youtube ad.yieldmanager.com view.atdmt.com orkut}==>{gstatic google yahoo} (0.0034013605,1.0)
{youtube bn.uol.com.br ad.yieldmanager.com}==>{globo orkut google} (0.0034013605,1.0)
{youtube bn.uol.com.br globo}==>{orkut google ad.yieldmanager.com} (0.0034013605,1.0)
{youtube bn.uol.com.br orkut}==>{globo google ad.yieldmanager.com} (0.0034013605,1.0)
{youtube globo ad.yieldmanager.com}==>{orkut google bn.uol.com.br} (0.0034013605,1.0)
{youtube gstatic oss-content.securestudies}==>{orkut ad.doubleclick.net} (0.0034013605,1.0)
{youtube rad.msn gstatic}==>{bn.uol.com.br ceipmsn} (0.0034013605,1.0)
{youtube terra ad.doubleclick.net}==>{google} (0.0034013605,1.0)
