Numero de regras = 1246
premissa ==> conclusao (suporte,confianca)
{ad.doubleclick.net gstatic youtube}==>{google} (0.011188812,1.0)
{ad.doubleclick.net uai yahoo bn.uol.com.br orkut}==>{google} (0.011188812,1.0)
{ad.doubleclick.net view.atdmt.com orkut globo}==>{google} (0.011188812,1.0)
{ad.doubleclick.net view.atdmt.com rad.msn}==>{google} (0.011188812,1.0)
{ad.doubleclick.net view.atdmt.com uai orkut}==>{google} (0.011188812,1.0)
{ad.doubleclick.net yahoo youtube orkut}==>{google} (0.011188812,1.0)
{ad.yieldmanager.com ad.doubleclick.net uai gstatic google}==>{orkut yahoo} (0.011188812,1.0)
{ad.yieldmanager.com ad.doubleclick.net uai gstatic orkut}==>{google yahoo} (0.011188812,1.0)
{ad.yieldmanager.com uai youtube}==>{google yahoo} (0.011188812,1.0)
{ad.yieldmanager.com youtube orkut view.atdmt.com bn.uol.com.br}==>{google yahoo} (0.011188812,1.0)
{bn.uol.com.br ad.yieldmanager.com orkut rad.msn}==>{google yahoo} (0.011188812,1.0)
{bn.uol.com.br yahoo view.atdmt.com orkut globo}==>{google} (0.011188812,1.0)
{ceipmsn yahoo view.atdmt.com globo}==>{google} (0.011188812,1.0)
{globo ad.yieldmanager.com uai rad.msn}==>{yahoo} (0.011188812,1.0)
{globo uai gstatic ad.yieldmanager.com}==>{yahoo} (0.011188812,1.0)
{globo yahoo uai rad.msn}==>{ad.yieldmanager.com} (0.011188812,1.0)
{globo youtube ad.yieldmanager.com orkut}==>{yahoo} (0.011188812,1.0)
{gstatic ad.doubleclick.net bn.uol.com.br ad.yieldmanager.com}==>{google yahoo} (0.011188812,1.0)
{gstatic globo google ad.yieldmanager.com bn.uol.com.br}==>{yahoo} (0.011188812,1.0)
{gstatic globo view.atdmt.com yahoo}==>{google} (0.011188812,1.0)
{gstatic globo yahoo ad.yieldmanager.com bn.uol.com.br}==>{google} (0.011188812,1.0)
{gstatic view.atdmt.com ad.yieldmanager.com bn.uol.com.br google}==>{yahoo} (0.011188812,1.0)
{gstatic view.atdmt.com ad.yieldmanager.com bn.uol.com.br yahoo}==>{google} (0.011188812,1.0)
{gstatic yahoo ceipmsn}==>{google} (0.011188812,1.0)
{orkut bn.uol.com.br ad.yieldmanager.com ad.doubleclick.net}==>{google yahoo} (0.011188812,1.0)
{orkut gstatic globo ad.doubleclick.net}==>{google ad.yieldmanager.com yahoo} (0.011188812,1.0)
{orkut gstatic terra}==>{google} (0.011188812,1.0)
{orkut terra ad.yieldmanager.com yahoo}==>{google} (0.011188812,1.0)
{orkut uai gstatic globo}==>{google yahoo} (0.011188812,1.0)
{rad.msn ad.yieldmanager.com google gstatic}==>{yahoo} (0.011188812,1.0)
{rad.msn view.atdmt.com ad.yieldmanager.com globo}==>{google} (0.011188812,1.0)
{rad.msn yahoo ad.doubleclick.net orkut}==>{google} (0.011188812,1.0)
{uai ad.doubleclick.net globo bn.uol.com.br view.atdmt.com}==>{google} (0.011188812,1.0)
{uai ad.doubleclick.net view.atdmt.com yahoo ad.yieldmanager.com}==>{google} (0.011188812,1.0)
{uai ad.yieldmanager.com bn.uol.com.br gstatic}==>{google yahoo} (0.011188812,1.0)
{uai ad.yieldmanager.com yahoo bn.uol.com.br globo}==>{google} (0.011188812,1.0)
{uai globo ad.doubleclick.net ad.yieldmanager.com orkut}==>{google} (0.011188812,1.0)
{uai globo ad.doubleclick.net yahoo orkut}==>{google} (0.011188812,1.0)
{uai globo ad.yieldmanager.com yahoo orkut}==>{google} (0.011188812,1.0)
{uai globo bn.uol.com.br yahoo orkut}==>{google} (0.011188812,1.0)
{uai orkut youtube ad.doubleclick.net}==>{google} (0.011188812,1.0)
{view.atdmt.com ad.yieldmanager.com google orkut gstatic}==>{yahoo} (0.011188812,1.0)
{view.atdmt.com ad.yieldmanager.com orkut ad.doubleclick.net}==>{google yahoo} (0.011188812,1.0)
{view.atdmt.com bn.uol.com.br orkut gstatic}==>{google yahoo} (0.011188812,1.0)
{view.atdmt.com uai ad.yieldmanager.com bn.uol.com.br orkut}==>{google yahoo} (0.011188812,1.0)
{yahoo ad.yieldmanager.com bn.uol.com.br orkut globo}==>{google} (0.011188812,1.0)
{yahoo bn.uol.com.br youtube ad.doubleclick.net}==>{google ad.yieldmanager.com} (0.011188812,1.0)
{yahoo youtube orkut view.atdmt.com bn.uol.com.br}==>{google ad.yieldmanager.com} (0.011188812,1.0)
{youtube bn.uol.com.br ad.yieldmanager.com gstatic google}==>{yahoo} (0.011188812,1.0)
{youtube bn.uol.com.br ad.yieldmanager.com gstatic yahoo}==>{google} (0.011188812,1.0)
{youtube yahoo bn.uol.com.br globo}==>{google} (0.011188812,1.0)
{ad.doubleclick.net ad.yieldmanager.com view.atdmt.com globo}==>{google} (0.00979021,1.0)
{ad.doubleclick.net bn.uol.com.br gstatic orkut}==>{google yahoo} (0.00979021,1.0)
{ad.doubleclick.net bn.uol.com.br view.atdmt.com youtube}==>{google} (0.00979021,1.0)
{ad.doubleclick.net uai gstatic ad.yieldmanager.com globo}==>{yahoo} (0.00979021,1.0)
{ad.doubleclick.net uai gstatic yahoo globo}==>{ad.yieldmanager.com} (0.00979021,1.0)
{ad.doubleclick.net view.atdmt.com ad.yieldmanager.com orkut bn.uol.com.br}==>{google yahoo} (0.00979021,1.0)
{ad.doubleclick.net view.atdmt.com ad.yieldmanager.com youtube}==>{google} (0.00979021,1.0)
{ad.doubleclick.net view.atdmt.com yahoo orkut bn.uol.com.br}==>{google ad.yieldmanager.com} (0.00979021,1.0)
{ad.doubleclick.net yahoo view.atdmt.com globo}==>{google} (0.00979021,1.0)
{ad.yieldmanager.com google globo uai gstatic}==>{orkut yahoo} (0.00979021,1.0)
{ad.yieldmanager.com orkut globo uai gstatic}==>{google yahoo} (0.00979021,1.0)
{ad.yieldmanager.com orkut uai youtube}==>{google yahoo} (0.00979021,1.0)
{ad.yieldmanager.com rad.msn gstatic globo}==>{yahoo} (0.00979021,1.0)
{ad.yieldmanager.com rad.msn orkut globo}==>{google} (0.00979021,1.0)
{ad.yieldmanager.com view.atdmt.com youtube google gstatic}==>{yahoo} (0.00979021,1.0)
{bn.uol.com.br yahoo rad.msn gstatic}==>{google} (0.00979021,1.0)
{bn.uol.com.br yahoo rad.msn uai}==>{google} (0.00979021,1.0)
{ceipmsn ad.yieldmanager.com rad.msn}==>{google} (0.00979021,1.0)
{globo gstatic orkut bn.uol.com.br}==>{google yahoo} (0.00979021,1.0)
{globo rad.msn ad.yieldmanager.com yahoo view.atdmt.com}==>{google} (0.00979021,1.0)
{globo uai gstatic bn.uol.com.br}==>{google} (0.00979021,1.0)
{google ad.yieldmanager.com rad.msn terra}==>{yahoo} (0.00979021,1.0)
{google youtube orkut globo ad.yieldmanager.com}==>{yahoo} (0.00979021,1.0)
{google youtube orkut globo yahoo}==>{ad.yieldmanager.com} (0.00979021,1.0)
{gstatic ad.doubleclick.net terra}==>{yahoo} (0.00979021,1.0)
{gstatic globo google view.atdmt.com bn.uol.com.br}==>{yahoo} (0.00979021,1.0)
{gstatic globo yahoo view.atdmt.com bn.uol.com.br}==>{google} (0.00979021,1.0)
{gstatic youtube globo}==>{ad.yieldmanager.com} (0.00979021,1.0)
{orkut ad.yieldmanager.com ad.doubleclick.net youtube}==>{google yahoo} (0.00979021,1.0)
{orkut ad.yieldmanager.com terra globo}==>{google} (0.00979021,1.0)
{orkut gstatic rad.msn bn.uol.com.br}==>{google} (0.00979021,1.0)
{orkut gstatic terra yahoo}==>{google} (0.00979021,1.0)
{rad.msn ad.yieldmanager.com youtube orkut}==>{google} (0.00979021,1.0)
{rad.msn bn.uol.com.br google youtube}==>{view.atdmt.com} (0.00979021,1.0)
{rad.msn bn.uol.com.br view.atdmt.com youtube}==>{google} (0.00979021,1.0)
{rad.msn view.atdmt.com bn.uol.com.br globo}==>{google} (0.00979021,1.0)
{rad.msn view.atdmt.com google youtube}==>{bn.uol.com.br} (0.00979021,1.0)
{rad.msn yahoo ad.yieldmanager.com youtube}==>{google} (0.00979021,1.0)
{uai ad.doubleclick.net globo bn.uol.com.br yahoo}==>{google} (0.00979021,1.0)
{uai ad.doubleclick.net view.atdmt.com bn.uol.com.br ad.yieldmanager.com}==>{google} (0.00979021,1.0)
{uai ad.doubleclick.net view.atdmt.com yahoo bn.uol.com.br}==>{google} (0.00979021,1.0)
{uai globo orkut yahoo ad.yieldmanager.com ad.doubleclick.net}==>{google} (0.00979021,1.0)
{uai globo view.atdmt.com ad.doubleclick.net orkut}==>{google} (0.00979021,1.0)
{uai globo view.atdmt.com bn.uol.com.br orkut}==>{google} (0.00979021,1.0)
{uai globo view.atdmt.com yahoo orkut}==>{google} (0.00979021,1.0)
{uai globo yahoo ceipmsn}==>{google} (0.00979021,1.0)
{uai orkut gstatic ad.yieldmanager.com bn.uol.com.br}==>{google yahoo} (0.00979021,1.0)
{uai rad.msn ad.yieldmanager.com orkut}==>{google yahoo} (0.00979021,1.0)
{uai view.atdmt.com gstatic}==>{google yahoo} (0.00979021,1.0)
{uai youtube view.atdmt.com}==>{orkut google} (0.00979021,1.0)
{view.atdmt.com ad.doubleclick.net youtube orkut}==>{google} (0.00979021,1.0)
