Numero de regras = 155
premissa ==> conclusao (suporte,confianca)
{orkut gstatic ad.yieldmanager.com yahoo}==>{google bn.uol.com.br} (0.003236246,1.0)
{orkut gstatic bn.uol.com.br google}==>{ad.yieldmanager.com yahoo} (0.003236246,1.0)
{orkut gstatic terra}==>{youtube ad.yieldmanager.com} (0.003236246,1.0)
{orkut youtube terra}==>{gstatic ad.yieldmanager.com} (0.003236246,1.0)
{oss-content.securestudies youtube}==>{orkut} (0.003236246,1.0)
{rad.msn bn.uol.com.br ad.yieldmanager.com}==>{globo orkut google view.atdmt.com yahoo} (0.003236246,1.0)
{rad.msn globo ad.yieldmanager.com}==>{orkut google view.atdmt.com bn.uol.com.br yahoo} (0.003236246,1.0)
{rad.msn globo bn.uol.com.br}==>{orkut google view.atdmt.com ad.yieldmanager.com yahoo} (0.003236246,1.0)
{rad.msn terra google}==>{youtube view.atdmt.com} (0.003236246,1.0)
{rad.msn terra youtube}==>{google view.atdmt.com} (0.003236246,1.0)
{rad.msn yahoo bn.uol.com.br}==>{globo orkut google view.atdmt.com ad.yieldmanager.com} (0.003236246,1.0)
{rad.msn yahoo globo}==>{orkut google view.atdmt.com bn.uol.com.br ad.yieldmanager.com} (0.003236246,1.0)
{rad.msn yahoo orkut ad.yieldmanager.com}==>{globo google view.atdmt.com bn.uol.com.br} (0.003236246,1.0)
{terra bn.uol.com.br yahoo}==>{globo google ceipmsn} (0.003236246,1.0)
{terra globo yahoo ceipmsn}==>{google bn.uol.com.br} (0.003236246,1.0)
{terra gstatic ad.doubleclick.net}==>{google} (0.003236246,1.0)
{terra orkut ad.doubleclick.net}==>{globo ad.yieldmanager.com} (0.003236246,1.0)
{uai ad.doubleclick.net globo}==>{google} (0.003236246,1.0)
{uai ad.yieldmanager.com bn.uol.com.br}==>{google ad.doubleclick.net} (0.003236246,1.0)
{uai bn.uol.com.br terra}==>{globo orkut} (0.003236246,1.0)
{uai google terra}==>{yahoo} (0.003236246,1.0)
{uai orkut bn.uol.com.br}==>{globo terra} (0.003236246,1.0)
{uai orkut globo}==>{terra bn.uol.com.br} (0.003236246,1.0)
{uai orkut terra}==>{globo bn.uol.com.br} (0.003236246,1.0)
{uai rad.msn}==>{google ad.doubleclick.net ad.yieldmanager.com} (0.003236246,1.0)
{uai yahoo terra}==>{google} (0.003236246,1.0)
{uai youtube}==>{google} (0.003236246,1.0)
{view.atdmt.com ad.doubleclick.net google ad.yieldmanager.com}==>{orkut bn.uol.com.br yahoo} (0.003236246,1.0)
{view.atdmt.com ad.doubleclick.net google bn.uol.com.br}==>{orkut ad.yieldmanager.com yahoo} (0.003236246,1.0)
{view.atdmt.com ad.doubleclick.net orkut}==>{google bn.uol.com.br ad.yieldmanager.com yahoo} (0.003236246,1.0)
{view.atdmt.com ceipmsn orkut}==>{gstatic} (0.003236246,1.0)
{view.atdmt.com globo bn.uol.com.br}==>{orkut google rad.msn ad.yieldmanager.com yahoo} (0.003236246,1.0)
